name,search_terms,relevent_vendor_ids,timing,overdue,suggestion_copy_female,suggestion_copy_male,reminder_copy,question_copy,redirect_copy,,,,,
Reception and Ceremony Venue,Venue / Reception / Ceremony,"1.0, 2.0, 3.0",At least 18-12 months before,12 months,,,,"To recap, have you booked your venue yet?",Here are some of our favourite [venues] to help you get started,,,,,
Save The Date,Save The Date / Invitations ,4.0,At least 12-8 months before,"8 months
",Make sure your guests have enough time to plan for your big day with a [Save The Date] !,same,"It doesn't look like you've decided on your [Save The Dates] yet, here are some of our favourtite vendors to help you get started",Have you organised your [Save The Dates]?,Here are some of our favourite [invitation] makers to help you get started,,,,,
Wedding Planning,Wedding Planning / Planning & Coordination,22.0,At least 12-6 months before,"6 months
","We're here to help you every step of the way, but if you still need an extra pair of hands, finding a [wedding planner] can take off a lot of pressure and now's the best time to start looking.",same,"It doesn't look like you've found a [wedding planner] yet, here are some of our favourite vendors to help you get started",Have you booked your [wedding planner] yet?,Here are some of our favourite [wedding planners] to help you get started,,,,,
Celebrant,Wedding Celebrant / Celebrant / Officiant,18.0,At least 12-6 months before,"6 months
","Your [celebrant] binds the whole ceremony together! Now that you've locked in your date and venue, now is a good time to find one.",same,"It doesn't look like you've found a [celebrant] yet, here are some of our favourite vendors to help you get started",Have you booked your [celebrant] yet?,Here are some of our favourite [celebrants] to help you get started,,,,,
Photography,Photographer / Photography,"5.0, 7.0",At least 12-6 months before,"6 months
","Don't let your favourite [photographer] get away, now that you've locked in your date and venue, now is a good time to find one.",same,"It doesn't look like you've found a [photographer] yet, here are some of our favourite vendors to help you get started",Have you booked your [photographer] yet?,Here are some of our favourite [photographers] to help you get started,,,,,
Videography,Videographer / Videography,"6.0, 7.0",At least 12-6 months before,"6 months
","Don't let your favourite [videographer] get away, now that you've locked in your date and venue, now is a good time to find one.",same,"It doesn't look like you've found a [videographer] yet, here are some of our favourite vendors to help you get started",Have you booked your [videographer] yet?,Here are some of our favourite [videographers] to help you get started,,,,,
Bridalwear,Wedding Dress / Gown / Bridalwear,14.0,At least 12-6 months before,"6 months
","Finding your [wedding dress] can be one of the most exciting parts of planning your wedding, start now and give yourself plenty of time.","Finding the [wedding dress] can be one of the most exciting parts of planning your wedding, start now and give yourself plenty of time.","It doesn't look like you've found [THE dress] yet, here are some of our favourite vendors to help you get started",Have you said yes to the dress?,Here are some of our favourite [bridalwear] names to help you get started,,,,,
Groom's Outfit,Groom's Outfit / Groomswear,15.0,At least 12-6 months before,"6 months
","Don't forget about the Groom! Finding the [groom's outfit] to match you can be one of the most exciting parts of planning your wedding, start now and give yourself plenty of time.",same,"It doesn't look like you've found your [groom's outfit] yet, here are some of our favourite vendors to help you get started",Have you found your [groom's outfit] yet?,Here are some of our favourite [groomswear] names to help you get started,,,,,
Styling,Wedding Styling,"11.0, 12.0, 13.0",At least 12-6 months before,"6 months
",Styling sets the mood and feel for the entire day and represents you as a couple - Now is a great time to look for your [stylist] to help you pull it all together.,same,"It doesn't look like you've organised for [styling] yet, here are some of our favourite vendors to help you get started",Have you booked your [stylist] yet?,Here are some of our favourite [wedding stylists] to help you get started,,,,,
Flowers,Florist / Flowers,"11.0, 12.0",At least 12-6 months before,"6 months
",Flowers are a beautiful touch to your big day - the earlier you speak to a [florst] the better your chances of having a range of flowers to choose from to suit your style.,same,"It doesn't look like you've found a [florist] yet, here are some of our favourite vendors to help you get started",Have you booked your [florist] yet?,Here are some of our favourite [florists] to help you get started,,,,,
